43.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
06:25:45.34 (37464392)|HEAP_ALLOCATE|[24]|Bytes:4
06:25:45.34 (37469544)|VARIABLE_ASSIGNMENT|[24]|i|6
06:25:45.34 (37475140)|STATEMENT_EXECUTE|[24]
06:25:45.34 (37476661)|STATEMENT_EXECUTE|[25]
06:25:45.34 (37479233)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37483792)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37488315)|HEAP_ALLOCATE|[24]|Bytes:4
06:25:45.34 (37494253)|VARIABLE_ASSIGNMENT|[24]|i|7
06:25:45.34 (37499376)|STATEMENT_EXECUTE|[24]
06:25:45.34 (37501514)|STATEMENT_EXECUTE|[25]
06:25:45.34 (37503430)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37507942)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37512629)|HEAP_ALLOCATE|[24]|Bytes:4
06:25:45.34 (37518223)|VARIABLE_ASSIGNMENT|[24]|i|8
06:25:45.34 (37523054)|STATEMENT_EXECUTE|[24]
06:25:45.34 (37525396)|STATEMENT_EXECUTE|[25]
06:25:45.34 (37527703)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37532003)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37537718)|HEAP_ALLOCATE|[24]|Bytes:4
06:25:45.34 (37543093)|VARIABLE_ASSIGNMENT|[24]|i|9
06:25:45.34 (37547824)|STATEMENT_EXECUTE|[24]
06:25:45.34 (37549392)|STATEMENT_EXECUTE|[25]
06:25:45.34 (37551247)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37556068)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37560192)|HEAP_ALLOCATE|[24]|Bytes:4
06:25:45.34 (37565524)|VARIABLE_ASSIGNMENT|[24]|i|10
06:25:45.34 (37571774)|STATEMENT_EXECUTE|[27]
06:25:45.34 (37574397)|VARIABLE_SCOPE_BEGIN|[27]|i|Integer|false|false
06:25:45.34 (37582377)|HEAP_ALLOCATE|[27]|Bytes:4
06:25:45.34 (37588088)|VARIABLE_ASSIGNMENT|[27]|i|0
06:25:45.34 (37615443)|STATEMENT_EXECUTE|[27]
06:25:45.34 (37617388)|STATEMENT_EXECUTE|[28]
06:25:45.34 (37620909)|HEAP_ALLOCATE|[28]|Bytes:17
06:25:45.34 (37664218)|HEAP_ALLOCATE|[28]|Bytes:1
06:25:45.34 (37678200)|HEAP_ALLOCATE|[28]|Bytes:2
06:25:45.34 (37687487)|HEAP_ALLOCATE|[28]|Bytes:8
06:25:45.34 (37700400)|HEAP_ALLOCATE|[28]|Bytes:2
06:25:45.34 (37715350)|HEAP_ALLOCATE|[28]|Bytes:22
06:25:45.34 (37737535)|USER_DEBUG|[28]|DEBUG|Array element at 0is10
06:25:45.34 (37748039)|HEAP_ALLOCATE|[27]|Bytes:4
06:25:45.34 (37756769)|VARIABLE_ASSIGNMENT|[27]|i|1
06:25:45.34 (37769364)|STATEMENT_EXECUTE|[27]
06:25:45.34 (37771502)|STATEMENT_EXECUTE|[28]
06:25:45.34 (37781194)|HEAP_ALLOCATE|[28]|Bytes:1
06:25:45.34 (37791473)|HEAP_ALLOCATE|[28]|Bytes:8
06:25:45.34 (37800913)|HEAP_ALLOCATE|[28]|Bytes:2
06:25:45.34 (37810742)|HEAP_ALLOCATE|[28]|Bytes:22
06:25:45.34 (37818713)|USER_DEBUG|[28]|DEBUG|Array element at 1is20
06:25:45.34 (37827069)|HEAP_ALLOCATE|[27]|Bytes:4
06:25:45.34 (37834060)|VARIABLE_ASSIGNMENT|[27]|i|2
06:25:45.34 (37844709)|STATEMENT_EXECUTE|[27]
06:25:45.34 (37846341)|STATEMENT_EXECUTE|[28]
06:25:45.34 (37854668)|HEAP_ALLOCATE|[28]|Bytes:1
06:25:45.34 (37864183)|HEAP_ALLOCATE|[28]|Bytes:8
06:25:45.34 (37873416)|HEAP_ALLOCATE|[28]|Bytes:2
06:25:45.34 (37882013)|HEAP_ALLOCATE|[28]|Bytes:22
06:25:45.34 (37889026)|USER_DEBUG|[28]|DEBUG|Array element at 2is30
06:25:45.34 (37896505)|HEAP_ALLOCATE|[27]|Bytes:4
06:25:45.34 (37905646)|VARIABLE_ASSIGNMENT|[27]|i|3
06:25:45.34 (37918221)|STATEMENT_EXECUTE|[27]
06:25:45.34 (37919754)|STATEMENT_EXECUTE|[28]
06:25:45.34 (37928343)|HEAP_ALLOCATE|[28]|Bytes:1
06:25:45.34 (37937637)|HEAP_ALLOCATE|[28]|Bytes:8
06:25:45.34 (37947460)|HEAP_ALLOCATE|[28]|Bytes:2
06:25:45.34 (37956800)|HEAP_ALLOCATE|[28]|Bytes:22
06:25:45.34 (37964845)|USER_DEBUG|[28]|DEBUG|Array element at 3is40
06:25:45.34 (37976693)|HEAP_ALLOCATE|[27]|Bytes:4
06:25:45.34 (37983734)|VARIABLE_ASSIGNMENT|[27]|i|4
06:25:45.34 (37995464)|STATEMENT_EXECUTE|[27]
06:25:45.34 (37997101)|STATEMENT_EXECUTE|[28]
06:25:45.34 (38007834)|HEAP_ALLOCATE|[28]|Bytes:1
06:25:45.34 (38020717)|HEAP_ALLOCATE|[28]|Bytes:8
06:25:45.34 (38030496)|HEAP_ALLOCATE|[28]|Bytes:2
06:25:45.34 (38040405)|HEAP_ALLOCATE|[28]|Bytes:22
06:25:45.34 (38048569)|USER_DEBUG|[28]|DEBUG|Array element at 4is50
06:25:45.34 (38056019)|HEAP_ALLOCATE|[27]|Bytes:4
06:25:45.34 (38063265)|VARIABLE_ASSIGNMENT|[27]|i|5
06:25:45.34 (38074520)|STATEMENT_EXECUTE|[27]
06:25:45.34 (38076173)|STATEMENT_EXECUTE|[28]
06:25:45.34 (38084408)|HEAP_ALLOCATE|[28]|Bytes:1
06:25:45.34 (38093810)|HEAP_ALLOCATE|[28]|Bytes:8
06:25:45.34 (38103290)|HEAP_ALLOCATE|[28]|Bytes:2
06:25:45.34 (38112500)|HEAP_ALLOCATE|[28]|Bytes:22
06:25:45.34 (38118879)|USER_DEBUG|[28]|DEBUG|Array element at 5is60
06:25:45.34 (38126751)|HEAP_ALLOCATE|[27]|Bytes:4
06:25:45.34 (38132856)|VARIABLE_ASSIGNMENT|[27]|i|6
06:25:45.34 (38143798)|STATEMENT_EXECUTE|[27]
06:25:45.34 (38145432)|STATEMENT_EXECUTE|[28]
06:25:45.34 (38153768)|HEAP_ALLOCATE|[28]|Bytes:1
06:25:45.34 (38163076)|HEAP_ALLOCATE|[28]|Bytes:8
06:25:45.34 (38172880)|HEAP_ALLOCATE|[28]|Bytes:2
06:25:45.34 (38181814)|HEAP_ALLOCATE|[28]|Bytes:22
06:25:45.34 (38188768)|USER_DEBUG|[28]|DEBUG|Array element at 6is70
06:25:45.34 (38195767)|HEAP_ALLOCATE|[27]|Bytes:4
06:25:45.34 (38201909)|VARIABLE_ASSIGNMENT|[27]|i|7
06:25:45.34 (38212299)|STATEMENT_EXECUTE|[27]
06:25:45.34 (38213979)|STATEMENT_EXECUTE|[28]
06:25:45.34 (38222002)|HEAP_ALLOCATE|[28]|Bytes:1
06:25:45.34 (38231587)|HEAP_ALLOCATE|[28]|Bytes:8
06:25:45.34 (38240995)|HEAP_ALLOCATE|[28]|Bytes:2
06:25:45.34 (38249494)|HEAP_ALLOCATE|[28]|Bytes:22
06:25:45.34 (38255836)|USER_DEBUG|[28]|DEBUG|Array element at 7is80
06:25:45.34 (38262969)|HEAP_ALLOCATE|[27]|Bytes:4
06:25:45.34 (38269469)|VARIABLE_ASSIGNMENT|[27]|i|8
06:25:45.34 (38280412)|STATEMENT_EXECUTE|[27]
06:25:45.34 (38282000)|STATEMENT_EXECUTE|[28]
06:25:45.34 (38290009)|HEAP_ALLOCATE|[28]|Bytes:1
06:25:45.34 (38299130)|HEAP_ALLOCATE|[28]|Bytes:8
06:25:45.34 (38309905)|HEAP_ALLOCATE|[28]|Bytes:2
06:25:45.34 (38318724)|HEAP_ALLOCATE|[28]|Bytes:22
06:25:45.34 (38325614)|USER_DEBUG|[28]|DEBUG|Array element at 8is90
06:25:45.34 (38333049)|HEAP_ALLOCATE|[27]|Bytes:4
06:25:45.34 (38339493)|VARIABLE_ASSIGNMENT|[27]|i|9
06:25:45.34 (38350018)|STATEMENT_EXECUTE|[27]
06:25:45.34 (38351588)|STATEMENT_EXECUTE|[28]
06:25:45.34 (38359376)|HEAP_ALLOCATE|[28]|Bytes:1
06:25:45.34 (38368634)|HEAP_ALLOCATE|[28]|Bytes:8
06:25:45.34 (38378484)|HEAP_ALLOCATE|[28]|Bytes:3
06:25:45.34 (38387876)|HEAP_ALLOCATE|[28]|Bytes:23
06:25:45.34 (38394124)|USER_DEBUG|[28]|DEBUG|Array element at 9is100
06:25:45.34 (38401244)|HEAP_ALLOCATE|[27]|Bytes:4
06:25:45.34 (38407964)|VARIABLE_ASSIGNMENT|[27]|i|10
06:25:45.34 (38424891)|METHOD_EXIT|[4]|01p6F00000CNPHj|BasicProgramming.printArray(Integer)
06:25:45.34 (38433485)|SYSTEM_MODE_EXIT|false
06:25:45.38 (38457607)|CUMULATIVE_LIMIT_USAGE
06:25:45.38 (38457607)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 100
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 0 out of 150
  Number of DML rows: 0 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

06:25:45.38 (38457607)|CUMULATIVE_LIMIT_USAGE_END

06:25:45.34 (38491613)|CODE_UNIT_FINISHED|execute_anonymous_apex
06:25:45.34 (39373868)|EXECUTION_FINISHED
